Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Country_Year
USA ,2019,Developed,78.7,107,,,35.97,,,,6.5,,,,,2.1381E+13,337790067,1.4,0.9,,,
USA ,2020,Developed,76.9,127,,,44.82,,,,6.4,,,,,2.10605E+13,339436159,1.4,0.9,,,
USA ,2021,Developed,76.4,142,,,43.02,,,,6.3,,,,,2.33151E+13,340161441,1.5,0.9,,,
USA ,2022,,,,,,36.26,,,,6.3,,,,,2.54627E+13,341534046,1.5,1,,,
Mexico ,2019,Developing,75.8,139,,,25.24,,,,14.2,,,,,1.26901E+12,125762982,2,2.1,,,
Mexico ,2020,Developing,70.9,203,,,27.29,,,,13.7,,,,,1.09051E+12,126799054,2.1,2.1,,,
Mexico ,2021,Developing,70.8,206,,,26.77,,,,13.3,,,,,1.27284E+12,127648148,2.1,2.2,,,
Mexico ,2022,,,,,,28.53,,,,12.8,,,,,1.41419E+12,128613117,2.2,2.3,,,
Brazil ,2019,Developing,75.5,126,,,46.81,,,,14.8,,,,,1.87329E+12,207455460,2.7,2.4,,,
Brazil ,2020,Developing,74.1,142,,,49.92,,,,14.5,,,,,1.47611E+12,208660842,2.7,2.4,,,
Brazil ,2021,Developing,72.4,176,,,43.49,,,,14.3,,,,,1.64962E+12,209550294,2.7,2.4,,,
Brazil ,2022,,,,,,46.38,,,,13.7,,,,,1.9201E+12,210306415,2.8,2.5,,,
Canada ,2019,Developed,82,66,,,40.59,,,,5.1,,,,,1.74373E+12,37782935,1.8,1.1,,,
Canada ,2020,Developed,81.3,75,,,52.71,,,,5.1,,,,,1.6476E+12,38171902,1.8,1.1,,,
Canada ,2021,Developed,81.6,72,,,45.86,,,,5,,,,,2.00149E+12,38454057,1.9,1.2,,,
Canada,2022,,,,,,41.43,,,,4.9,,,,,2.13984E+12,38821259,2,1.2,,,
Germany ,2019,Developed,81,65,,,45,,,,3.7,,,,,3.88823E+12,83559186,1.9,1.2,,,
Germany ,2020,Developed,80.8,66,,,50.46,,,,3.7,,,,,3.88967E+12,83628708,2,1.2,,,
Germany ,2021,Developed,80.5,69,,,50.94,,,,3.6,,,,,4.25993E+12,83697083,2,1.3,,,
Germany ,2022,,,,,,49.48,,,,3.6,,,,,4.07219E+12,84086227,2.1,1.3,,,
Japan ,2019,Developed,84.5,50,,,37.29,,,,2.5,,,,,5.11799E+12,126699424,2.5,1.8,,,
Japan ,2020,Developed,84.7,50,,,44.55,,,,2.4,,,,,5.04879E+12,126304543,2.5,1.8,,,
Japan ,2021,Developed,84.5,50,,,42.7,,,,2.3,,,,,5.00554E+12,126304543,2.5,1.8,,,
Japan ,2022,,,,,,44.09,,,,2.3,,,,,4.23114E+12,24997578,2.5,1.8,,,
Afghanistan,2019,Developing,61.2,294,,,,,,,63.6,29,,,,18904502222,37856121,9.3,8,,,
Afghanistan,2020,Developing,60.5,308,,,,,,,61.6,56,,,,20143451706,39068979,8.9,7.7,,,
Afghanistan,2021,Developing,59.1,344,,,,,,,59.6,4,,,,14583135237,40000412,8.6,7.4,,,
Afghanistan,2022,,,,,,,,,,57.7,2,,,,,40578842,8.3,7.9,,,
